全表适应度排名,来源文件,文件修改时间,文件内序号,实例,算法,运行类别,运行条件备注,原始备注,预算G,预算T_MAX,预算说明,run_seed,迭代次数,适应度值,运行时间_秒,运行时间_分钟,最快最佳结果时间_秒,最快最佳结果时间_分钟,宽高比是否满足,gbest更新次数,开始时间,最快时间,结束时间,读取编码
270,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,59,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7449462.6372289825,15390.218072,256.50363453333335,15259.5041,254.32506833333335,True,191,2026-04-06 13:10:57.285363,2026-04-06 17:25:16.789463,2026-04-06 17:27:27.503435,utf-8-sig
186,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,60,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7397513.875667928,16438.95685,273.9826141666666,15749.276896,262.48794826666665,True,213,2026-04-06 18:23:53.240933,2026-04-06 22:46:22.517829,2026-04-06 22:57:52.197783,utf-8-sig
272,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,61,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=100000，G/T未显式记录,,100000,7453711.442368901,197096.682,3284.9447,19341.700508,322.36167513333334,True,94,2026-04-04 22:06:34.007333,2026-04-05 03:28:55.707841,2026-04-07 04:51:30.689333,utf-8-sig
240,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,62,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7426477.547419427,24880.124494,414.66874156666665,20960.220979,349.3370163166667,True,214,2026-04-06 22:57:52.520340,2026-04-07 04:47:12.741319,2026-04-07 05:52:32.644834,utf-8-sig
245,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,63,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7429527.5095405765,18220.168132,303.66946886666665,14906.21321,248.43688683333332,True,195,2026-04-07 08:55:19.317025,2026-04-07 13:03:45.530235,2026-04-07 13:58:59.485157,utf-8-sig
247,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,64,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7430264.203767848,16286.729225,271.4454870833333,15442.409702,257.37349503333337,True,193,2026-04-07 15:17:41.442598,2026-04-07 19:35:03.852300,2026-04-07 19:49:08.171823,utf-8-sig
168,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,65,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7387837.189648904,15695.194372,261.58657286666664,14608.157791,243.46929651666667,True,228,2026-04-07 20:04:56.040758,2026-04-08 00:08:24.198549,2026-04-08 00:26:31.235130,utf-8-sig
277,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,66,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7456593.6591689,26721.773381,445.3628896833333,22296.813186,371.6135531,True,201,2026-04-08 00:26:31.559129,2026-04-08 06:38:08.372315,2026-04-08 07:51:53.332510,utf-8-sig
196,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,67,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,"WarmStart(GA)+ELP+full-Q-learning,移除了 facility_insert (5) 和 facility_shuffle (7)",,,总迭代=100000，G/T未显式记录,,100000,7402196.645594798,119982.141817,1999.7023636166666,49915.399722,831.9233287000001,True,121,2026-04-07 04:51:30.861961,2026-04-07 18:43:26.261683,2026-04-08 14:11:13.003778,utf-8-sig
209,Du62-ELP_RL_Standard_ED1.csv,2026-05-10 22:07:28,68,Du62,ELP_RL_Standard_ED1,历史变体,ELP_RL_Standard_ED1历史记录；ED1配置/版本记录。,ELP+DQN(main:0/1/2/3/9/10/11/14/15; elite:10/11/14/0; heavy_two_stage:9/10/11/14/15),,,总迭代=100000，G/T未显式记录,,100000,7408524.429186361,18909.852745,315.16421241666666,14839.18471,247.31974516666665,True,205,2026-04-08 10:05:21.228532,2026-04-08 14:12:40.413242,2026-04-08 15:20:31.081277,utf-8-sig
